7zip 26.01-1
alacritty 0.17.0-1
alsa-firmware 1.2.4-4
alsa-scarlett-gui 0.5.1-2
alsa-utils 1.2.16-1
ananicy-cpp 1.2.0-1
android-apktool 3.0.2-1
android-sdk 26.1.1-2
android-sdk-build-tools r37.0.0-1
android-sdk-platform-tools 37.0.0-1
android-udev-git 20260423.r0.g5e7cef3-1
arandr 0.1.11-6
archlinux-themes-sddm 2.0-2
aspell-en 2026.02.25-1
autoconf 2.73-1
autokey-gtk 0.96.0-9
automake 1.18.1-1
baobab 50.0-1
base 3-3
base-devel 1-2
bfg 1.15.0-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
bitwarden 2026.2.1-1
bleachbit 6.0.0-2
bless 0.6.3-2
blueman 2.4.6-2
bluez 5.86-6
bluez-utils 5.86-6
boost 1.91.0-1
brave-bin 1:1.91.172-1
bspwm-git 0.9.12.r1508.c5cf7d3-1
cadence 0.9.2-3
calibre 8.7.0-12
carla 2.5.10-3
carla-bridges-win 2.5.6-1
cava 0.10.7-1
chromaprint 1.6.0-3
clang 22.1.6-1
claude-desktop-bin 1.12603.1-1
cpio 2.15-3
cpupower 7.0.10-1
debugedit 5.3-1
dhcpcd 10.3.2-1
discord 1:1.0.142-1
dmenu 5.4-1
dmidecode 3.7-1
dms-shell 1.4.6-2
dms-shell-niri 1.4.6-2
docker 1:29.5.2-1
docker-compose 5.1.4-1
downgrade 12.0.2-1
dsearch-bin 0.3.1-1
dtc 1:1.7.2-1
dunst 1.13.2-1
dxvk-bin 2.7.1-1
easymp3gain-gtk2 0.5.0-8
efibootmgr 18-4
emby-server 4.9.5.0-1
emulationstation 2.11.2-2
evtest 1.36-1
exfatprogs 1.4.1-1
exif 0.6.22-1
exodus 26.6.4-2
fakeroot 1:1.37.2-1
fastfetch 2.64.2-2
feh 3.12.2-1
ffmpegthumbnailer 2.3.0-1
file 5.48-1
file-roller 44.6-2
findutils 4.10.0-3
firefox-beta-bin 152.0rc1-1
flex 2.6.4-6
fuzzel 1.14.1-1
fzf 0.72.0-1
gawk 5.4.0-1
gcc 16.1.1+r12+g301eb08fa2c5-1
gdb 17.2-1
gettext 1.0-2
gimp 3.2.4-1
git 2.54.0-1
git-cola 4.18.2-1
git-extras 7.5.0-1
gksu 2.0.2-6
glances 4.5.4-1
gnome-disk-utility 46.1-2
gnome-keyring 1:50.0-1
go 2:1.26.4-1
gopreload-git r59.21b08e6-1
gparted 1.8.1-2
grep 3.12-2
groff 1.24.1-1
grub 2:2.06.r322.gd9b4638c5-1
gst-plugins-good 1.28.4-1
gtick 0.5.5-2
gtk-engine-murrine 0.98.2-5
gtk-engines 2.21.0-7
